Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Característica 1 (product.metafields.custom.caracteristica_1),Característica 2 (product.metafields.custom.caracteristica_2),Característica 3 (product.metafields.custom.caracteristica_3),Característica 4 (product.metafields.custom.caracteristica_4),Característica 5 (product.metafields.custom.caracteristica_5),Característica 6 (product.metafields.custom.caracteristica_6),Contenido de caja (product.metafields.custom.contenido_de_caja),Descripción_1 (product.metafields.custom.descripcion_1),Especificaciones generales (product.metafields.custom.especificaciones_generales),SKU (product.metafields.custom.sku),Título característica 1 (product.metafields.custom.titulo_caracteristica_1),Título característica 2 (product.metafields.custom.titulo_caracteristica_2),Título característica 3 (product.metafields.custom.titulo_caracteristica_3),Título característica 4 (product.metafields.custom.titulo_caracteristica_4),Título característica 5 (product.metafields.custom.titulo_caracteristica_5),Título característica 6 (product.metafields.custom.titulo_caracteristica_6),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Tipo de montura (product.metafields.shopify.mounting-type),Fuente de alimentación (product.metafields.shopify.power-source),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
purificador-agua-philips-smosis-inversa-aquaporin-add5930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/a0af10f7-73b4-4bcd-962f-3bf91310a9b0.jpg?v=1779314245,6,jpg_1500x1500_70351972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-smosis-inversa-aquaporin-add5930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/f17bc813-3da2-4ac1-a6f8-3bfc511cd4db.jpg?v=1779314245,7,jpg_1500x1500_70351973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-smosis-inversa-aquaporin-add5930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/4d62b555-09e3-44db-8264-95bfbe3ddb51.jpg?v=1779314245,8,jpg_1500x1500_70351975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-smosis-inversa-aquaporin-add5930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/48749259-4115-4ce2-ad88-b18b061392cf.jpg?v=1779314244,9,jpg_1500x1500_70351976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,Purificador Ósmosis Inversa Premium Aquaporin® Agua Fría y Caliente 3 en 1,"Purificación de alto rendimiento con certificación NASA/ESA.Sistema de ósmosis inversa premium con tecnología de membrana biomimética Aquaporin Inside, probada por agencias espaciales para máxima retención de contaminantes. Filtra hasta 0.0001 micrones, eliminando metales pesados (plomo), químicos (PFAS) y exceso de sales. Incluye pantalla de monitoreo TDS en tiempo real, sistema UV-C bactericida y dispensador de agua fría, caliente y ambiente en un diseño de vanguardia. • Sistema RO 6 Etapas - Aquaporin Inside para máxima purificación • Calentamiento Flash - 95°C en 3 segundos (más rápido que hervidor) • Enfriamiento Rápido - Agua fría a 8°C siempre disponible • Dispensado Inteligente - Volúmenes programables (150ml, 300ml, personalizado) • Display Táctil Premium - Control total con interfaz elegante. • Sistema RO 6 Etapas - Aquaporin Inside para máxima purificación • Calentamiento Flash - 95°C en 3 segundos (más rápido que hervidor) • Enfriamiento Rápido - Agua fría a 8°C siempre disponible • Dispensado Inteligente - Volúmenes programables (150ml, 300ml, personalizado) • Display Táctil Premium - Control total con interfaz elegante.<br><ul>
<br><li>• Sistema RO 6 Etapas - Aquaporin Inside para máxima purificación </li>
<br><li> • Calentamiento Flash - 95°C en 3 segundos (más rápido que hervidor) </li>
<br><li> • Enfriamiento Rápido - Agua fría a 8°C siempre disponible </li>
<br><li> • Dispensado Inteligente - Volúmenes programables (150ml, 300ml, personalizado) </li>
<br><li> • Display Táctil Premium - Control total con interfaz elegante.</li>
<br>
</ul>",Philips,Equipamiento deportivo > Actividades al aire libre > Camping y senderismo > Purificadores y filtros de agua portátiles,"","#purificador #osmosis-inversa #sobremesa #aquaporin #sin-instalacion #compacto, Bestseller, Tendencia",true,Title,Default Title,,,,,,,,ADD6928DG/37,16000.0,shopify,deny,manual,13859.00,19799.00,true,false,,,,,'840181303114,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/2e2f209f-46a4-488a-8e69-8697b51363ca.jpg?v=1778944593,1,jpg_1500x1500_70329069,false,,,1023,,,,,,,,,,,"Philips incorpora la tecnología Aquaporin Inside®,  probada en misiones de  la NASA y ESA para garantizar la  máxima pureza.   Un estándar de  innovación científica ahora disponible  en tu hogar.","No comprometas tu salud. Nuestra tecnología de filtración avanzada elimina eficazmente los microplásticos y compuestos PFAS, devolviéndole al agua su pureza original. Bebe con la confianza de que estás eliminando agentes nocivos de tu hidratación diaria.","Mantiene una tasa de eliminación de contaminantes por encima del 94% de forma constante.  Estabilidad Garantizada: Rendimiento de filtración probado y lineal hasta los 5,000 Litros de uso.",,,,"1 x Purificador de Agua Philips ADD6928DG/37
1 x Filtro All-in-One RO (ADD583) 
1 x Bandeja de goteo extraíble 
Manual de usuario","El Philips ADD6928DG integra la membrana de Ósmosis Inversa Aquaporin Inside® — tecnología biomimética desarrollada para proyectos aeroespaciales — con calentamiento rápido y desinfección UV-C continua. 
Un equipo de sobremesa que simplemente se conecta a la corriente eléctrica.

¿Por qué Aquaporin Inside®?
- Filtración en 6 etapas a 0.0001 micrones: Elimina metales pesados, químicos (PFAS), virus y bacterias con precisión molecular.
- Agua fría o caliente en 3 segundos: 8 °C para hidratación, 95 °C para té o café. 
- Desinfección UV-C las 24 horas: El sistema UV-LED interno elimina microorganismos en el tanque de 6 L.
- Pantalla táctil con monitor TDS: Programa volúmenes exactos (150 ml / 300 ml) y verifica la calidad del agua en tiempo real.
- Plug & Play: Solo conéctalo a la corriente eléctrica. Sin perforaciones, sin mangueras, sin plomero.","Tecnología: RO Aquaporin Inside® + UV-LED
Filtro: All-in-One RO ADD583/37 
Vida útil:  hasta 12 meses
Tanque: 6 litros
Temperaturas: 8 °C (fría) · 95 °C (caliente)",ADD6928DG/37,Tecnología probada  en el espacio,"Agua Pura, Cuerpo Sano",Reducción de TDS de Alto Nivel,,,,,,,,,kg,,,active
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/ed6078cc-3d1d-42d9-8c34-8f3908d577f7.jpg?v=1778944592,2,jpg_1500x1500_70329071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/83ad19af-4415-4142-80f8-883fa4c2adb7.jpg?v=1778944593,3,jpg_1500x1500_70329076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/4563d341-4fa6-4a80-a78c-b761a93f65ac.jpg?v=1778944593,4,jpg_1500x1500_70349212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/ba879ead-afb7-4fa8-b891-d43ff7b9740b.jpg?v=1778944592,5,jpg_1500x1500_70329077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/f01bb1e4-52cd-414c-8e71-8e76823d2d54.jpg?v=1778944592,6,jpg_1500x1500_70329078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/b4ffa133-1a9c-43a8-a4c6-07b2877111b7.jpg?v=1778944593,7,jpg_1500x1500_70329081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/48edfba1-b739-455e-adf3-e3b497ae096f.jpg?v=1778944592,8,jpg_1500x1500_70329084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/e3ded9ff-f3aa-4fd0-b502-7621c01eb5fd.jpg?v=1778944593,9,jpg_1500x1500_70329086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purificador-agua-philips-osmosis-inversa-add6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/a3bbee24-eafe-4a47-93c3-22b45a1d896e.jpg?v=1778944593,10,jpg_1500x1500_70329087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,Cartucho de Repuesto para Filtro Philips WS X-Guard Ultra,"Agua pura y fresca directamente del grifo con nuestro cartucho de ultrafiltración X-Guard Ultra.Con tecnología de fibra de carbono activado y membrana de fibra hueca, este filtro de 4 etapas reduce eficazmente hasta el 99.99% de bacterias, además de cloro, plomo, pesticidas, microplásticos y partículas hasta 0.1 micrones, mientras conserva los minerales esenciales para tu salud.Cada cartucho filtra hasta 1,200 litros (aproximadamente 7 meses de uso), equivalente a evitar 2,400 botellas de plástico de 500ml. Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas Sistema QuickTwist para cambio rápido y sin herramientas<br><ul>
<br><li>Sistema QuickTwist para cambio rápido y sin herramientas</li>
<br>
</ul>",Philips,Sin categoría,"",#purificador-llave #instalacion-grifo #ultrafiltration #digital #facil-instalacion,true,Title,Default Title,,,,,,,,AWP315/10,50.0,shopify,deny,manual,489.00,699.00,true,false,,,,,'4897099302780,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/19abf637-0474-4617-babc-b78cf7b5d896.jpg?v=1779134870,1,jpg_1500x1500_69350947,false,,,,,,,,,,,,,,,,,,,,1 filtro X-Guard Ultra,¡Asegura agua pura en tu hogar! Repuesto original Philips AWP315/10. - Elimina 99.99% de bacterias y microplásticos. Ultrafiltración de 0.1 micras. - Capacidad de 1200 L,"Tecnología: X-Guard Ultra
Filtro: de 4 etapas
Vida útil:  hasta 12 meses
Capacidad: hasta 1200 L de filtración",AWP315/10,,,,,,,,,,,,kg,,,active
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/fba278d3-433d-416a-b0a5-4cf54a814c49_bb9cf2d3-dc85-4741-a227-332092d42f97.jpg?v=1779134870,2,jpg_1500x1500_69461464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/b9ef5b91-da76-4798-b883-4f7fd9289b24.jpg?v=1779134870,3,jpg_1500x1500_69461352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/bd241833-d774-4f89-acb8-53e1699b241d.jpg?v=1779134870,4,jpg_1500x1500_69461353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/a14c892a-4240-4c68-9377-35e4dcee487a.jpg?v=1779134870,5,jpg_1500x1500_69461351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/5e919041-d228-4978-a4ac-1aea553f4a2c.jpg?v=1779134871,6,jpg_1500x1500_69351091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/ee93ee7d-52e8-4666-b34f-d3984442ae0f.jpg?v=1779134870,7,jpg_1500x1500_69351090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartucho-de-repuesto-philips-x-guard-ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/5083/0433/files/84c87e30-00e6-419f-af5d-485a4b8af72f.jpg?v=1779134870,8,jpg_1500x1500_69351089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
